unique_id,category,variation,nice_name,artist,mafia_name,twitter,instagram,filename paste,file,inches,inch_variance,radius_max,serving_min,serving_max,pie_count,layer
5122,topping-fruit,blackberry,Black Berries,simone leonelli,,,,5122-topping-fruit-blackberry,Y,1,,,,,,
5123,topping-fruit,blackberry,Black Berries,simone leonelli,,,,5123-topping-fruit-blackberry,Y,1,,,,,,
5124,topping-fruit,blackberry,Black Berries,simone leonelli,,,,5124-topping-fruit-blackberry,Y,1,,,,,,
5125,topping-fruit,blackberry,Black Berries,simone leonelli,,,,5125-topping-fruit-blackberry,Y,1,,,,,,
5130,topping-fruit,orangeslices,Orange Slices,#REF!,#REF!,#REF!,,5130-topping-fruit-orangeslices,Y,3,,,,,,
5131,topping-fruit,orangeslices,Orange Slices,#REF!,#REF!,#REF!,,5131-topping-fruit-orangeslices,Y,3,,,,,,
5132,topping-fruit,orangeslices,Orange Slices,#REF!,#REF!,#REF!,,5132-topping-fruit-orangeslices,Y,3,,,,,,
5140,topping-fruit,cantalope,Cantalope,Ain,ainnamseo,,,5140-topping-fruit-cantalope,Y,6,,,,,,
5141,topping-fruit,cantalope,Cantalope,Ain,ainnamseo,,,5141-topping-fruit-cantalope,Y,6,,,,,,
5142,topping-fruit,cantalope,Cantalope,Ain,ainnamseo,,,5142-topping-fruit-cantalope,Y,6,,,,,,
5150,topping-fruit,passionfruite,Passion Fruite,문득 마리 ,,,,5150-topping-fruit-passionfruite,Y,3,,,,,,
5151,topping-fruit,passionfruite,Passion Fruite,문득 마리 ,,,,5151-topping-fruit-passionfruite,Y,3,,,,,,
5152,topping-fruit,passionfruite,Passion Fruite,문득 마리 ,,,,5152-topping-fruit-passionfruite,Y,3,,,,,,
5160,topping-fruit,orangepeel,Orange Peel,Phillip Reay,Don Ciao,,,5160-topping-fruit-orangepeel,Y,5,,,,,,
5161,topping-fruit,orangepeel,Orange Peel,Phillip Reay,Don Ciao,,,5161-topping-fruit-orangepeel,Y,5,,,,,,
5162,topping-fruit,orangepeel,Orange Peel,Phillip Reay,Don Ciao,,,5162-topping-fruit-orangepeel,Y,5,,,,,,
5163,topping-fruit,orangepeel,Orange Peel,Phillip Reay,Don Ciao,,,5163-topping-fruit-orangepeel,Y,5,,,,,,
5154,topping-fruit,orangepeel,Orange Peel,Phillip Reay,Don Ciao,,,5154-topping-fruit-orangepeel,Y,5,,,,,,
5170,topping-fruit,blackolives,Black Olives,Ciara Bourne,,,,5170-topping-fruit-blackolives,Y,,,,,,,
5171,topping-fruit,blackolives,Black Olives,Ciara Bourne,,,,5171-topping-fruit-blackolives,Y,,,,,,,
5172,topping-fruit,blackolives,Black Olives,Ciara Bourne,,,,5172-topping-fruit-blackolives,Y,,,,,,,
5180,topping-fruit,dates,Dates,SharonaColor,,,,,,,,,,,,
5181,topping-fruit,dates,Dates,SharonaColor,,,,,,,,,,,,
5182,topping-fruit,dates,Dates,SharonaColor,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
5200,topping-pepper,chili,Chili's Pepper,Shiraz,,,,5200-topping-pepper-chili,Y,5.5,,,,,,
5201,topping-pepper,chili,Chili's Pepper,Shiraz,,,,5201-topping-pepper-chili,Y,5.5,,,,,,
5202,topping-pepper,chili,Chili's Pepper,Shiraz,,,,5202-topping-pepper-chili,Y,5.5,,,,,,
5203,topping-pepper,chili,Chili's Pepper,Shiraz,,,,5203-topping-pepper-chili,Y,5.5,,,,,,
5204,topping-pepper,chili,Chili's Pepper,Shiraz,,,,5204-topping-pepper-chili,Y,5.5,,,,,,
5205,topping-pepper,chili,Chili's Pepper,Shiraz,,,,5205-topping-pepper-chili,Y,5.5,,,,,,
5206,topping-pepper,chili,Chili's Pepper,Shiraz,,,,5206-topping-pepper-chili,Y,5.5,,,,,,
5210,topping-pepper,jalapenopeppers,slice,Jed Berk,,,,5210-topping-pepper-jalapenopeppers,Y,3,,,,,,
5211,topping-pepper,jalapenopeppers,red-green stem,Jed Berk,,,,5211-topping-pepper-jalapenopeppers,Y,3,,,,,,
5212,topping-pepper,jalapenopeppers,red-green-yellow-stem,Jed Berk,,,,5212-topping-pepper-jalapenopeppers,Y,3,,,,,,
5213,topping-pepper,jalapenopeppers,all green,Jed Berk,,,,5213-topping-pepper-jalapenopeppers,Y,3,,,,,,
5214,topping-pepper,jalapenopeppers,caterpillar half pepper,Jed Berk,,,,5214-topping-pepper-jalapenopeppers,Y,3,,,,,,
5215,topping-pepper,jalapenopeppers,caterpillar full pepper,Jed Berk,,,,5215-topping-pepper-jalapenopeppers,Y,3,,,,,,
5250,topping-pepper,ghost peppers,,mumbot,,,,5250-topping-pepper-ghost peppers,Y,3,,,,,,
5251,topping-pepper,ghost peppers,,mumbot,,,,5251-topping-pepper-ghost peppers,Y,3,,,,,,
5252,topping-pepper,ghost peppers,,mumbot,,,,5252-topping-pepper-ghost peppers,Y,3,,,,,,
5253,topping-pepper,ghost peppers,,mumbot,,,,5253-topping-pepper-ghost peppers,Y,3,,,,,,
5260,topping-pepper,,,,,,,5260-topping-pepper-,N,,,,,,,
5270,topping-pepper,,,,,,,5270-topping-pepper-,N,,,,,,,
5280,topping-pepper,,,,,,,5280-topping-pepper-,N,,,,,,,
